Priority,File,Line,Content
"P2-MEDIUM","./components/vx2/draft-logic/adapters/index.ts","25","// TODO: Implement Firebase adapter"
"P2-MEDIUM","./components/vx2/draft-logic/adapters/index.ts","29","// TODO: Implement local adapter"
"P2-MEDIUM","./components/vx2/draft-room/components/DraftRoomVX2.tsx","455","// TODO: Add withdrawal-specific logic here (e.g., remove from participants, refund entry fee)"
"P2-MEDIUM","./components/vx2/draft-room/hooks/useDraftRoom.ts","531","preDraftCountdown: 0, // TODO: Add pre-draft countdown state if needed"
"P1-HIGH","./lib/clientLogger.ts","22","DEBUG: 'DEBUG',"
"P3-LOW","./lib/clientLogger.ts","24","WARN: 'WARN',"
"P2-MEDIUM","./lib/apiErrorHandler.ts","49","WARN: 'WARN',"
"P1-HIGH","./lib/apiErrorHandler.ts","51","DEBUG: 'DEBUG',"
"P2-MEDIUM","./lib/paystack/paystackService.ts","352","// TODO: Convert to USD equivalent for balance check"
"P2-MEDIUM","./lib/apiErrorHandler.js","37","WARN: 'WARN',"
"P1-HIGH","./lib/apiErrorHandler.js","39","DEBUG: 'DEBUG',"
"P2-MEDIUM","./lib/analytics/deviceTracking.ts","366","// TODO: Send to analytics backend"
"P1-HIGH","./lib/stripe/stripeService.ts","556","// TODO: Implement proper exchange rate conversion for non-USD withdrawals"
"P2-MEDIUM","./pages/draft/topdog/DraftRoomNew.tsx","51","// TODO: Open player modal"
"P2-MEDIUM","./pages/draft/topdog/DraftRoomNew.tsx","57","// TODO: Show team modal or select team"
"P1-HIGH","./pages/api/paymongo/payout.ts","203","// TODO: Save for future if requested"
"P1-HIGH","./pages/api/xendit/disbursement.ts","198","// TODO: Save for future if requested"